run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path,sample_count,ram_mb_mean,ram_mb_peak,swap_mb_peak,board_power_w_mean,board_power_w_peak,gpu_util_pct_mean,gpu_util_pct_peak,temp_gpu_c_mean,temp_gpu_c_peak,tegrastats_path_tegrastats,success,oom_flag,tag,model,status,exit_code,json_exists,stderr_path,alloc_fail_flag,success_flag,effective_input_resolution
jetson_fno_oom_frontier:darcy_large_r141_on_561_ts_fp32,jetson_fno_oom_frontier,darcy_large_r141_on_561_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,141x141,561x561,343.3198238024488,342.8233398590237,347.37228974699974,347.37228974699974,341.133204754442,347.4548840895295,,artifacts/benchmark_inputs/frontier_synth/darcy_r561_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0.0,,darcy,561x561,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,False,False,results/jetson_fno_oom_frontier/darcy_large_r141_on_561_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_large_r141_on_561_ts_fp32_tegrastats.log,196.0,3667.3214285714284,3814.0,1466.0,14.438841836734683,21.692,41.05102040816327,99.0,59.2563214285715,62.593,results/jetson_fno_oom_frontier/darcy_large_r141_on_561_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_large_r141_on_701_ts_fp32,jetson_fno_oom_frontier,darcy_large_r141_on_701_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,141x141,701x701,369.3617722718045,368.37550485506654,373.0147290043533,373.0147290043533,366.1749209277332,373.0941549874842,,artifacts/benchmark_inputs/frontier_synth/darcy_r701_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0.0,,darcy,701x701,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,False,False,results/jetson_fno_oom_frontier/darcy_large_r141_on_701_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_large_r141_on_701_ts_fp32_tegrastats.log,141.0,3906.2624113475176,4238.0,1466.0,17.483049645390057,22.14,62.170212765957444,99.0,61.46307801418437,63.687,results/jetson_fno_oom_frontier/darcy_large_r141_on_701_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_large_r141_on_841_ts_fp32,jetson_fno_oom_frontier,darcy_large_r141_on_841_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,141x141,841x841,718.7584424391389,719.1967805847526,721.4368241839111,721.4368241839111,715.0358436629176,721.8956556171179,,artifacts/benchmark_inputs/frontier_synth/darcy_r841_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0.0,,darcy,841x841,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,True,False,results/jetson_fno_oom_frontier/darcy_large_r141_on_841_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_large_r141_on_841_ts_fp32_tegrastats.log,221.0,4321.221719457014,4473.0,1466.0,18.926515837104066,21.732,76.2081447963801,99.0,64.13111764705899,66.781,results/jetson_fno_oom_frontier/darcy_large_r141_on_841_ts_fp32_tegrastats.log,True,False,,,,,,,,,
jetson_fno_oom_frontier:darcy_large_r141_on_981_ts_fp32,jetson_fno_oom_frontier,darcy_large_r141_on_981_ts_fp32,darcy,unknown,oom_frontier,torchscript,fp32,1.0,torchscript,,141x141,981x981,1044.5949913701043,1044.4974931888282,1045.6262310035527,1045.6262310035527,1043.8604862429202,1046.8022748827934,,artifacts/benchmark_inputs/frontier_synth/darcy_r981_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0.0,,darcy,981x981,8.0,True,artifacts/benchmark_inputs/darcy_r421_bank.pt,True,True,True,results/jetson_fno_oom_frontier/darcy_large_r141_on_981_ts_fp32.json,results/jetson_fno_oom_frontier/darcy_large_r141_on_981_ts_fp32_tegrastats.log,301.0,4703.541528239202,4878.0,1466.0,18.497066445182735,20.676,81.90365448504983,99.0,66.63366445182744,68.75,results/jetson_fno_oom_frontier/darcy_large_r141_on_981_ts_fp32_tegrastats.log,True,False,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r561_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_base_r281_on_561_ts_fp32,artifacts/checkpoints/darcy_fno_base_r281_seed1_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_base_r281_on_561_ts_fp32.stderr,False,True,561.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r701_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_base_r281_on_701_ts_fp32,artifacts/checkpoints/darcy_fno_base_r281_seed1_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_base_r281_on_701_ts_fp32.stderr,False,True,701.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r841_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_base_r281_on_841_ts_fp32,artifacts/checkpoints/darcy_fno_base_r281_seed1_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_base_r281_on_841_ts_fp32.stderr,False,True,841.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r981_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_base_r281_on_981_ts_fp32,artifacts/checkpoints/darcy_fno_base_r281_seed1_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_base_r281_on_981_ts_fp32.stderr,False,True,981.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r561_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_large_r141_on_561_ts_fp32,artifacts/checkpoints/darcy_fno_large_seed0_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_large_r141_on_561_ts_fp32.stderr,False,True,561.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r701_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_large_r141_on_701_ts_fp32,artifacts/checkpoints/darcy_fno_large_seed0_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_large_r141_on_701_ts_fp32.stderr,False,True,701.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r841_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_large_r141_on_841_ts_fp32,artifacts/checkpoints/darcy_fno_large_seed0_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_large_r141_on_841_ts_fp32.stderr,False,True,841.0
,,,,,,,,,,,,,,,,,,,,artifacts/benchmark_inputs/frontier_synth/darcy_r981_bank.pt,,,,,,,,,,,,,,,,,,,,,,,,,,False,darcy_large_r141_on_981_ts_fp32,artifacts/checkpoints/darcy_fno_large_seed0_best.pt,success,0.0,1.0,results/jetson_fno_oom_frontier/darcy_large_r141_on_981_ts_fp32.stderr,False,True,981.0
